LidarMCplusplus.cpp input file:
Radius(m),0.15
FOV(rad),0.174533
a(m^-1),0.0425791
b(m^-1),0.104066
c(m^-1),0.146645
Dmin,0.1
Dmax,100
k,1e+21
Junge,4
bulk ref index,(1.05,0.005)
#photons,1000000
distance,signal,co,cross
0,41.4322,3.14116e-15,41.4322,-2.07823e-15
0.0034599,25.2411,0.000551727,25.2411,0.00644654
0.00691981,13.6191,0.000945189,13.6191,0.00667747
0.0103797,9.45477,0.00119217,9.45476,0.00641361
0.0138396,7.28893,0.00135029,7.28892,0.00612284
0.0172995,5.94258,0.0014459,5.94257,0.00584886
0.0207594,5.01241,0.00149499,5.0124,0.00559907
0.0242193,4.32341,0.00150782,4.3234,0.00537246
0.0276792,3.78743,0.00149266,3.78742,0.0051659
0.0311391,3.35531,0.00145585,3.3553,0.00497588
0.034599,2.99738,0.00140224,2.99737,0.00479919
0.0380589,2.69478,0.00133529,2.69476,0.00463262
0.0415188,2.4348,0.00125837,2.43479,0.00447473
0.0449787,2.20868,0.00117399,2.20866,0.00432372
0.0484387,2.01009,0.00108418,2.01008,0.00417968
0.0518986,1.83433,0.000990884,1.83432,0.00404119
0.0553585,1.67796,0.000894973,1.67794,0.0039083
0.0588184,1.53802,0.000798783,1.538,0.00377856
0.0622783,1.41238,0.000701671,1.41236,0.00365061
0.0657382,1.29888,0.000606461,1.29887,0.00352662
0.0691981,1.19634,0.000512333,1.19632,0.00340904
0.072658,1.10368,0.000420336,1.10367,0.00329642
0.0761179,1.01939,0.000331406,1.01937,0.00317928
0.0795778,0.942666,0.000244101,0.942647,0.00307144
0.0830377,0.87291,0.000161914,0.872891,0.00296797
0.0864976,0.80915,8.13837e-05,0.809131,0.00285971
0.0899575,0.751016,4.61751e-06,0.750997,0.00276606
0.0934174,0.69771,-6.70746e-05,0.697691,0.00266474
0.0968773,0.648991,-0.000137676,0.648972,0.00257391
0.100337,0.604368,-0.000203418,0.604349,0.0024824
0.103797,0.563138,-0.00026388,0.563119,0.00239682
0.107257,0.525672,-0.000325574,0.525652,0.00230844
0.110717,0.490896,-0.000379452,0.490877,0.00223427
0.114177,0.458866,-0.00043067,0.458846,0.00214896
0.117637,0.429673,-0.000482459,0.429653,0.00207655
0.121097,0.402363,-0.000527295,0.402343,0.00200461
0.124557,0.377258,-0.000568605,0.377239,0.00193253
0.128016,0.35416,-0.000611761,0.354141,0.00186576
0.131476,0.332779,-0.000649803,0.33276,0.00180178
0.134936,0.312763,-0.000681476,0.312743,0.00174094
0.138396,0.29434,-0.00071636,0.294321,0.00167572
0.141856,0.277492,-0.000749894,0.277472,0.00162075
0.145316,0.261426,-0.000773919,0.261407,0.0015706
0.148776,0.246539,-0.000799639,0.246519,0.00150989
0.152236,0.2331,-0.000828812,0.23308,0.00145738
0.155696,0.220295,-0.000850108,0.220275,0.00141731
0.159156,0.208108,-0.000866962,0.208088,0.00136619
0.162615,0.197094,-0.000887992,0.197074,0.00131439
0.166075,0.186945,-0.000910055,0.186925,0.00127528
0.169535,0.17707,-0.000923304,0.177049,0.00123907
0.172995,0.167868,-0.000935243,0.167848,0.00119269
0.176455,0.159464,-0.000950704,0.159443,0.00115017
0.179915,0.151677,-0.000967553,0.151656,0.00111771
0.183375,0.1441,-0.000976456,0.144079,0.00108527
0.186835,0.136984,-0.000983179,0.136963,0.00104763
0.190295,0.130436,-0.000993167,0.130415,0.00101101
0.193755,0.124408,-0.00100649,0.124387,0.000980093
0.197215,0.118606,-0.00101401,0.118585,0.000953696
0.200674,0.112993,-0.00101578,0.112972,0.000924642
0.204134,0.107799,-0.00102062,0.107777,0.000893258
0.207594,0.10302,-0.00102934,0.102998,0.000862442
0.211054,0.0985879,-0.00103814,0.0985656,0.00083828
0.214514,0.0941966,-0.00103849,0.0941742,0.000818825
0.217974,0.0899886,-0.00103785,0.0899659,0.000792765
0.221434,0.0860885,-0.00104047,0.0860656,0.000766176
0.224894,0.0825677,-0.00104782,0.0825446,0.000738391
0.228354,0.0792543,-0.00105273,0.0792311,0.000721218
0.231814,0.0758781,-0.00104942,0.0758546,0.000706618
0.235273,0.0726647,-0.00104668,0.0726411,0.00068462
