LidarMCplusplus.cpp input file:
Radius(m),0.15
FOV(rad),0.174533
a(m^-1),0.00425791
b(m^-1),0.0104066
c(m^-1),0.0146645
Dmin,0.1
Dmax,100
k,1e+20
Junge,4
bulk ref index,(1.05,0.005)
#photons,100000
distance,signal,co,cross
0,4.14343,4.34607e-16,4.14343,-2.21258e-16
0.0034599,2.52432,5.51715e-05,2.52432,0.000644654
0.00691981,1.36212,9.45139e-05,1.36212,0.000667747
0.0103797,0.945684,0.000119206,0.945683,0.000641361
0.0138396,0.7291,0.000135009,0.729099,0.000612284
0.0172995,0.594465,0.000144559,0.594464,0.000584886
0.0207594,0.501448,0.000149455,0.501446,0.000559907
0.0242193,0.432548,0.000150721,0.432547,0.000537246
0.0276792,0.37895,0.000149186,0.378949,0.00051659
0.0311391,0.335738,0.000145485,0.335736,0.000497588
0.034599,0.299945,0.000140101,0.299944,0.000479919
0.0380589,0.269684,0.000133379,0.269683,0.000463262
0.0415188,0.243687,0.000125659,0.243685,0.000447473
0.0449787,0.221074,0.00011719,0.221073,0.000432372
0.0484387,0.201216,0.000108176,0.201214,0.000417968
0.0518986,0.18364,9.88101e-05,0.183638,0.000404119
0.0553585,0.168002,8.91808e-05,0.168,0.00039083
0.0588184,0.154008,7.9521e-05,0.154006,0.000377856
0.0622783,0.141444,6.97666e-05,0.141443,0.000365061
0.0657382,0.130095,6.01999e-05,0.130093,0.000352662
0.0691981,0.11984,5.0739e-05,0.119838,0.000340904
0.072658,0.110575,4.14887e-05,0.110573,0.000329642
0.0761179,0.102145,3.25426e-05,0.102143,0.000317928
0.0795778,0.0944728,2.37567e-05,0.0944709,0.000307144
0.0830377,0.0874971,1.54801e-05,0.0874952,0.000296797
0.0864976,0.0811211,7.36665e-06,0.0811192,0.000285971
0.0899575,0.0753076,-3.72783e-07,0.0753057,0.000276606
0.0934174,0.0699769,-7.60724e-06,0.069975,0.000266474
0.0968773,0.0651049,-1.47351e-05,0.065103,0.000257391
0.100337,0.0606426,-2.13794e-05,0.0606407,0.00024824
0.103797,0.0565195,-2.74982e-05,0.0565176,0.000239682
0.107257,0.0527728,-3.37425e-05,0.0527709,0.000230844
0.110717,0.0492952,-3.92077e-05,0.0492932,0.000223427
0.114177,0.046092,-4.44094e-05,0.0460901,0.000214896
0.117637,0.0431727,-4.96704e-05,0.0431707,0.000207655
0.121097,0.0404416,-5.42387e-05,0.0404396,0.000200461
0.124557,0.0379311,-5.84567e-05,0.0379291,0.000193253
0.128016,0.0356212,-6.28618e-05,0.0356192,0.000186576
0.131476,0.033483,-6.67578e-05,0.033481,0.000180178
0.134936,0.0314813,-7.00193e-05,0.0314793,0.000174094
0.138396,0.0296389,-7.36044e-05,0.0296369,0.000167572
0.141856,0.027954,-7.70568e-05,0.027952,0.000162075
0.145316,0.0263473,-7.95607e-05,0.0263453,0.00015706
0.148776,0.0248585,-8.22365e-05,0.0248564,0.000150989
0.152236,0.0235144,-8.52599e-05,0.0235124,0.000145738
0.155696,0.0222339,-8.74981e-05,0.0222318,0.000141731
0.159156,0.0210151,-8.92943e-05,0.0210131,0.000136619
0.162615,0.0199136,-9.15107e-05,0.0199115,0.000131439
0.166075,0.0188986,-9.38325e-05,0.0188965,0.000127528
0.169535,0.0179109,-9.52753e-05,0.0179089,0.000123907
0.172995,0.0169907,-9.65895e-05,0.0169886,0.000119269
