LidarMCplusplus.cpp output file:
Radius(m),0.15
FOV(rad),0.174533
a(m^-1),0.247962
b(m^-1),0.508313
c(m^-1),0.756275
Junge,4
bulk ref index,(1.05,0.006)
#photons,10000000
distance,signal,co,cross,nScat,angleDet
0.580722,0.451755,0.328139,0.123616,4,0.0892794
0.343935,0.672127,0.671144,0.000982988,2,0.172954
0.623138,0.303637,0.284452,0.0191845,6,0.0151916
2.07296,0.451755,0.108084,0.343671,4,0.0145416
0.888147,0.672127,0.671334,0.00079292,2,0.109009
0.448526,0.672127,0.67162,0.000506957,2,0.0282714
1.78547,0.451755,0.000659273,0.451096,4,0.0562095
3.69994,0.137169,0.0303144,0.106855,10,0.0337765
0.0197559,0.451755,0.11373,0.338025,4,0.102898
0.594321,0.303637,0.296445,0.00719179,6,0.101689
0.484215,0.303637,0.264315,0.0393214,6,0.0667241
0.506424,0.672127,0.671026,0.0011011,2,0.149759
1.33681,0.451755,0.253732,0.198023,4,0.160522
1.01016,0.303637,0.126726,0.17691,6,0.165883
0.643999,0.672127,0.671754,0.000373445,2,0.140884
0.719871,0.672127,0.671584,0.000542897,2,0.0907486
0.1208,0.672127,0.671315,0.000811635,2,0.0341755
0.010999,0.672127,0.671437,0.000690133,2,0.0805221
0.678888,0.451755,0.386097,0.0656574,4,0.0464774
1.74213,0.451755,0.0111919,0.440563,4,0.0414993
0.219076,0.672127,0.671687,0.000439965,2,0.154583
0.142228,0.672127,0.670859,0.00126822,2,0.049152
0.914998,0.204082,0.00627836,0.197804,8,0.116572
0.121297,0.451755,0.0635745,0.38818,4,0.122602
0.822021,0.672127,0.671776,0.000350988,2,0.140671
1.95492,0.137169,0.0422678,0.0949016,10,0.0703948
0.571151,0.672127,0.670931,0.00119604,2,0.148636
0.820051,0.204082,0.125739,0.0783433,8,0.0130874
6.81838,0.0619669,0.0617422,0.000224698,14,0.075293
0.626809,0.672127,0.671748,0.000379563,2,0.13575
0.593425,0.672127,0.671791,0.000335846,2,0.13625
1.00543,0.451755,0.00113383,0.450621,4,0.0232479
0.211788,0.672127,0.67199,0.000137164,2,0.0654651
0.188772,0.451755,0.364685,0.0870697,4,0.0855101
0.811683,0.672127,0.671444,0.000682838,2,0.0804278
1.77034,0.204082,0.147783,0.0562999,8,0.0302124
0.783356,0.137169,0.00629412,0.130875,10,0.151739
1.61559,0.303637,0.123382,0.180254,6,0.0362744
0.227136,0.672127,0.671588,0.000539318,2,0.170218
1.05195,0.672127,0.671286,0.000840846,2,0.0835956
0.288929,0.451755,0.0883199,0.363435,4,0.144838
0.30337,0.672127,0.670821,0.00130625,2,0.0468271
2.93628,0.303637,0.056213,0.247424,6,0.0421041
0.715618,0.303637,0.064369,0.239268,6,0.07138
0.496027,0.672127,0.671812,0.000314891,2,0.136518
0.714062,0.204082,0.182031,0.0220516,8,0.100414
2.33627,0.204082,0.0115692,0.192513,8,0.00540565
0.552497,0.451755,0.11927,0.332485,4,0.0259112
0.284245,0.672127,0.671421,0.000706392,2,0.128252
0.815058,0.303637,0.152648,0.150988,6,0.0414573
1.86852,0.303637,0.00200351,0.301633,6,0.0937378
0.857072,0.672127,0.671123,0.00100446,2,0.0375671
1.05718,0.451755,0.0678497,0.383905,4,0.112857
1.94957,0.451755,0.128899,0.322856,4,0.0298405
1.33846,0.303637,0.131959,0.171678,6,0.122445
0.891129,0.672127,0.67135,0.000777534,2,0.130076
2.44236,0.303637,0.0167572,0.286879,6,0.0512396
1.27618,0.672127,0.670859,0.00126805,2,0.0489882
0.8122,0.303637,0.300122,0.00351489,6,0.166316
0.12899,0.672127,0.671428,0.000698604,2,0.128134
0.289994,0.451755,0.000445316,0.45131,4,0.158262
3.73112,0.0921952,0.0584906,0.0337046,12,0.109016
0.503705,0.303637,0.294707,0.00892918,6,0.0796681
0.993771,0.672127,0.671647,0.000480513,2,0.104619
1.22485,0.303637,0.224113,0.0795232,6,0.0159095
3.25257,0.0921952,0.045728,0.0464672,12,0.0414075
1.51258,0.204082,0.0747247,0.129358,8,0.161061
0.128132,0.672127,0.671283,0.000843858,2,0.165918
0.477292,0.672127,0.671088,0.0010393,2,0.163604
4.73948,0.0188154,0.00446547,0.01435,20,0.0695461
1.03819,0.137169,0.105415,0.0317546,10,0.0350106
0.34195,0.451755,0.0713229,0.380432,4,0.10025
0.174563,0.672127,0.671177,0.000950346,2,0.172814
2.65357,0.137169,0.0459955,0.0911738,10,0.142463
0.961748,0.451755,0.0917188,0.360036,4,0.105004
0.0619476,0.672127,0.671364,0.000762618,2,0.131122
0.220876,0.672127,0.672035,9.17265e-05,2,0.0964738
0.203251,0.672127,0.671166,0.000961129,2,0.0554243
2.08571,0.204082,0.0142306,0.189852,8,0.0256423
0.0412587,0.672127,0.671873,0.000254482,2,0.1022
2.32274,0.0279938,0.0279495,4.43505e-05,18,0.0485997
0.871381,0.672127,0.671924,0.000202866,2,0.122623
1.10567,0.451755,0.105079,0.346676,4,0.110872
0.201803,0.672127,0.672033,9.45371e-05,2,0.0727087
0.233132,0.451755,0.39035,0.0614044,4,0.119233
0.904201,0.303637,0.291617,0.0120192,6,0.13831
0.0723966,0.672127,0.671596,0.000530861,2,0.158203
3.25167,0.0619669,0.0503177,0.0116492,14,0.167555
6.09716,0.0921952,0.0844398,0.00775541,12,0.141978
0.481729,0.672127,0.671611,0.000516512,2,0.169387
0.838245,0.451755,0.332947,0.118808,4,0.0354464
1.98236,0.303637,0.0903383,0.213298,6,0.107189
1.27777,0.303637,0.173331,0.130306,6,0.0197818
1.34956,0.451755,0.426704,0.0250512,4,0.0695483
1.09834,0.303637,0.0314711,0.272166,6,0.0948582
0.104449,0.672127,0.670965,0.00116173,2,0.0418482
1.88936,0.451755,0.179481,0.272273,4,0.0424171
2.47585,0.451755,0.155542,0.296213,4,0.0527689
0.724907,0.672127,0.671658,0.000468987,2,0.0276736
0.175916,0.672127,0.670933,0.00119378,2,0.147316
0.386287,0.451755,0.210474,0.241281,4,0.129762
0.889485,0.303637,0.300261,0.00337567,6,0.0605539
0.009902,0.672127,0.671371,0.000756243,2,0.111828
0.802754,0.303637,0.148359,0.155278,6,0.142768
0.192945,0.672127,0.671545,0.00058189,2,0.114206
0.42541,0.672127,0.670999,0.00112808,2,0.173473
0.417497,0.451755,0.430617,0.0211381,4,0.174321
1.7518,0.303637,0.00151115,0.302126,6,0.028736
0.259231,0.451755,0.397136,0.054619,4,0.0280369
0.42017,0.451755,0.451172,0.000582618,4,0.161693
1.40168,0.303637,0.257203,0.0464332,6,0.160954
2.32283,0.137169,0.0158139,0.121355,10,0.0263804
0.936486,0.451755,0.0434976,0.408257,4,0.144582
1.15306,0.303637,0.00555714,0.29808,6,0.155029
1.86396,0.204082,0.00092199,0.20316,8,0.00169348
1.35154,0.672127,0.671484,0.000643044,2,0.0592366
1.45543,0.204082,0.198455,0.00562775,8,0.0422085
1.09628,0.451755,0.440146,0.011609,4,0.118733
0.0864984,0.672127,0.671408,0.000719479,2,0.112511
2.08927,0.137169,0.122327,0.014842,10,0.0162841
0.869632,0.451755,0.00840562,0.443349,4,0.0247615
0.864056,0.672127,0.671443,0.000684092,2,0.171488
1.35541,0.451755,0.365106,0.0866484,4,0.0448178
0.0651979,0.672127,0.671689,0.00043834,2,0.135132
0.0386873,0.672127,0.670954,0.00117355,2,0.173652
0.977306,0.0921952,0.0383888,0.0538064,12,0.14303
0.765419,0.451755,0.0184136,0.433341,4,0.00566791
2.38419,0.303637,0.293507,0.0101299,6,0.0404702
1.04318,0.451755,0.416667,0.035088,4,0.0145787
0.725164,0.303637,0.188063,0.115574,6,0.0116524
0.422934,0.672127,0.671464,0.000662605,2,0.171351
1.2166,0.303637,0.0733187,0.230318,6,0.0767469
0.157417,0.672127,0.672015,0.000112213,2,0.0730532
0.384432,0.672127,0.671246,0.000881331,2,0.165611
0.874512,0.451755,0.0380829,0.413672,4,0.0211066
0.841416,0.303637,0.301479,0.00215813,6,0.0891339
0.561529,0.672127,0.671471,0.000656218,2,0.171309
1.91326,0.303637,0.126801,0.176835,6,0.0642476
2.0995,0.0921952,0.0770965,0.0150987,12,0.0456337
0.0291731,0.672127,0.671596,0.00053157,2,0.090878
0.488279,0.672127,0.671441,0.000686,2,0.159375
1.67465,0.672127,0.670961,0.00116562,2,0.0408129
0.0817151,0.303637,0.00676112,0.296876,6,0.154387
3.80166,0.0416496,0.0110376,0.030612,16,0.00569644
1.175,0.204082,0.0420293,0.162053,8,0.14854
0.866518,0.672127,0.671384,0.000743093,2,0.143412
0.983173,0.451755,0.0313785,0.420376,4,0.0883527
0.959264,0.672127,0.67167,0.000457129,2,0.115524
0.412874,0.672127,0.671016,0.00111089,2,0.0409981
1.10275,0.303637,0.259085,0.0445521,6,0.0739963
0.295459,0.451755,0.409048,0.0427067,4,0.0493295
0.477107,0.672127,0.672027,0.000100439,2,0.096252
0.752259,0.451755,0.0666539,0.385101,4,0.125907
0.975654,0.672127,0.671705,0.000421808,2,0.115888
1.87225,0.204082,0.104913,0.099169,8,0.0370908
0.255811,0.672127,0.671872,0.000255247,2,0.0229244
0.787978,0.672127,0.67153,0.000596611,2,0.105807
0.217196,0.451755,0.41548,0.0362744,4,0.0480009
0.33307,0.451755,0.00198898,0.449766,4,0.0577975
0.411686,0.451755,0.244477,0.207278,4,0.0513817
1.49141,0.451755,0.451204,0.00055127,4,0.161127
0.644797,0.451755,0.139057,0.312697,4,0.164635
2.2297,0.137169,0.0850625,0.0521068,10,0.128639
8.86017,0.0619669,0.0559988,0.00596811,14,0.066256
3.5979,0.0619669,0.0586978,0.00326907,14,0.00978237
0.552674,0.672127,0.671103,0.00102419,2,0.162242
3.80561,0.0619669,0.0450892,0.0168777,14,0.0257952
0.758337,0.672127,0.671186,0.000941193,2,0.161246
4.0457,0.137169,0.00214135,0.135028,10,0.0312976
0.297506,0.672127,0.671774,0.000353386,2,0.116616
0.849924,0.672127,0.670962,0.00116465,2,0.0407981
0.283698,0.672127,0.671867,0.000260518,2,0.0938069
1.21837,0.451755,0.118984,0.332771,4,0.106523
1.55006,0.451755,0.129295,0.32246,4,0.0275934
0.786369,0.672127,0.671415,0.000711763,2,0.152433
0.516163,0.672127,0.671279,0.000847748,2,0.0838303
1.0957,0.204082,0.200851,0.0032317,8,0.0267364
0.00881401,0.672127,0.671597,0.000529893,2,0.153694
0.84569,0.672127,0.671682,0.000445452,2,0.115645
0.438448,0.303637,0.14931,0.154327,6,0.110345
1.0666,0.303637,0.24336,0.0602763,6,0.153404
0.284952,0.672127,0.672058,6.93436e-05,2,0.0668298
0.757117,0.451755,0.428428,0.0233265,4,0.127431
1.90903,0.672127,0.67096,0.00116756,2,0.0520162
0.655374,0.451755,0.357636,0.094119,4,0.108647
0.553815,0.672127,0.671437,0.00068968,2,0.0888637
1.41234,0.204082,0.00136293,0.202719,8,0.0170384
0.502182,0.451755,0.115116,0.336639,4,0.134568
0.248411,0.672127,0.670967,0.00115988,2,0.14916
0.376134,0.672127,0.671738,0.000389371,2,0.156311
1.05043,0.672127,0.671866,0.000261148,2,0.102277
0.0307785,0.672127,0.671286,0.000840774,2,0.0854595
0.925604,0.672127,0.670869,0.00125759,2,0.0452102
0.308956,0.451755,0.279033,0.172722,4,0.0672868
1.43415,0.672127,0.672102,2.53566e-05,2,0.0706057
0.339497,0.672127,0.67116,0.000966913,2,0.164805
0.438985,0.672127,0.671518,0.000609246,2,0.0899571
1.07567,0.672127,0.671884,0.00024336,2,0.0940216
0.863073,0.672127,0.671386,0.000741356,2,0.128888
0.509519,0.672127,0.671657,0.000469608,2,0.157633
0.134075,0.451755,0.355775,0.0959797,4,0.169225
3.0397,0.137169,0.0740931,0.0630762,10,0.116563
0.369612,0.672127,0.671934,0.000192762,2,0.118732
0.273935,0.451755,0.293009,0.158746,4,0.173934
1.86904,0.204082,0.109256,0.0948264,8,0.164331
2.71672,0.0619669,0.0123888,0.0495781,14,0.163277
1.70876,0.0619669,0.0556299,0.00633705,14,0.00792348
0.201841,0.672127,0.671912,0.000214843,2,0.122826
0.826339,0.303637,0.101437,0.202199,6,0.128496
2.77876,0.204082,0.0874768,0.116606,8,0.0333249
0.364699,0.672127,0.671108,0.00101864,2,0.162149
1.31514,0.137169,0.00638055,0.130789,10,0.0270711
0.63152,0.672127,0.671492,0.00063521,2,0.167506
0.492389,0.672127,0.671151,0.000976086,2,0.172924
0.540663,0.451755,0.086616,0.365139,4,0.0638271
0.0502304,0.672127,0.671105,0.00102222,2,0.15039
1.05428,0.672127,0.671367,0.000760399,2,0.111734
