LidarMCplusplus.cpp output file:
Radius(m),0.15
FOV(rad),0.174533
a(m^-1),0.0550804
b(m^-1),0.599519
c(m^-1),0.6546
Junge,4
bulk ref index,(1.05,0.001)
#photons,10000000
distance,signal,co,cross,nScat,angleDet
1.2619,0.915856,0.603583,0.312273,1,0.117944
0.595514,0.915856,0.864472,0.051384,1,0.160404
18.5381,0.111092,0.0555665,0.0555258,25,0.0341815
1.66782,0.768214,0.432076,0.336138,3,0.081384
0.533422,0.838793,0.419296,0.419497,2,0.134081
5.05665,0.495016,0.263789,0.231226,8,0.0614389
1.66624,0.838793,0.400134,0.438659,2,0.0691094
0.812391,0.915856,0.454746,0.461111,1,0.153286
0.280028,0.915856,0.91498,0.000876166,1,0.124444
0.77297,0.915856,0.620675,0.295181,1,0.139005
2.94944,0.768214,0.355607,0.412607,3,0.0521442
0.793684,0.838793,0.245874,0.592919,2,0.0712584
2.49912,0.644372,0.254453,0.38992,5,0.160107
0.350658,0.915856,0.454675,0.461182,1,0.135586
1.12921,0.915856,0.890381,0.0254755,1,0.0990765
0.632388,0.915856,0.814629,0.101228,1,0.147462
1.31752,0.915856,0.762625,0.153231,1,0.0292653
0.432352,0.915856,0.634806,0.281051,1,0.0933191
0.185056,0.915856,0.526604,0.389252,1,0.17239
0.895758,0.838793,0.574523,0.26427,2,0.117156
0.47295,0.838793,0.409002,0.429791,2,0.133606
0.275161,0.915856,0.853296,0.0625602,1,0.160207
0.309011,0.838793,0.410702,0.428091,2,0.172696
2.64,0.703573,0.350993,0.352581,4,0.0816352
0.828841,0.644372,0.290262,0.35411,5,0.172085
0.39,0.838793,0.551526,0.287267,2,0.068581
1.23635,0.768214,0.453989,0.314225,3,0.089381
0.0365408,0.915856,0.456864,0.458992,1,0.0501491
1.4151,0.768214,0.555246,0.212968,3,0.10159
0.533467,0.915856,0.899614,0.0162422,1,0.102631
1.66714,0.838793,0.136883,0.70191,2,0.0136414
0.505083,0.915856,0.457008,0.458848,1,0.0873527
0.103201,0.915856,0.803181,0.112676,1,0.121153
0.969221,0.838793,0.701592,0.137201,2,0.0276601
0.354524,0.915856,0.530247,0.38561,1,0.155995
2.3293,0.915856,0.501618,0.414239,1,0.0428702
0.490432,0.915856,0.891883,0.0239732,1,0.163385
0.615592,0.915856,0.701537,0.214319,1,0.140078
0.364947,0.915856,0.465398,0.450458,1,0.152719
1.88208,0.838793,0.403358,0.435435,2,0.0847862
0.801747,0.915856,0.898987,0.0168696,1,0.143443
0.184333,0.915856,0.490124,0.425733,1,0.152031
0.118051,0.915856,0.862253,0.0536038,1,0.127052
0.447428,0.915856,0.905238,0.0106179,1,0.0997962
0.870007,0.838793,0.657135,0.181658,2,0.0350573
0.65385,0.838793,0.396087,0.442706,2,0.115045
1.23419,0.838793,0.473163,0.36563,2,0.100906
0.185839,0.915856,0.471777,0.444079,1,0.133586
0.44698,0.915856,0.495494,0.420363,1,0.0841205
1.5229,0.915856,0.866603,0.049253,1,0.0662066
0.865795,0.838793,0.232225,0.606568,2,0.107913
0.481106,0.838793,0.212192,0.626601,2,0.138447
0.247076,0.768214,0.565633,0.20258,3,0.103745
1.17631,0.703573,0.347874,0.355699,4,0.0680252
