LidarMCplusplus.cpp output file:
Radius(m),0.15
FOV(rad),0.174533
a(m^-1),0.214233
b(m^-1),0.52172
c(m^-1),0.735953
Junge,4
bulk ref index,(1.05,0.005)
#photons,1000000
distance,signal,co,cross,nScat,angleDet
0.693756,0.502546,0.0304757,0.47207,2,0.0914299
1.31009,0.502546,0.135895,0.36665,2,0.0780469
0.492052,0.708904,0.390309,0.318596,1,0.0442395
0.312539,0.502546,0.307052,0.195493,2,0.0999166
0.709089,0.356257,0.154957,0.2013,3,0.149361
0.0203037,0.502546,0.0968142,0.405731,2,0.104331
0.624648,0.502546,0.0227325,0.479813,2,0.171135
0.00968598,0.708904,0.376509,0.332395,1,0.11314
0.359267,0.708904,0.686068,0.0228366,1,0.0673974
0.670984,0.502546,0.215435,0.28711,2,0.115405
1.85439,0.708904,0.42906,0.279844,1,0.0567586
0.768176,0.708904,0.401485,0.307419,1,0.166895
1.06136,0.502546,0.31108,0.191466,2,0.0669403
0.768162,0.252552,0.112824,0.139728,4,0.13687
0.343589,0.502546,0.141749,0.360796,2,0.127829
0.139545,0.708904,0.474738,0.234167,1,0.127847
1.57291,0.252552,0.126081,0.126471,4,0.078483
0.426356,0.502546,0.18149,0.321055,2,0.0604302
0.309382,0.502546,0.217898,0.284647,2,0.172809
2.91239,0.252552,0.12341,0.129142,4,0.0367277
0.568975,0.708904,0.708519,0.000385402,1,0.14092
0.579198,0.502546,0.21843,0.284115,2,0.171302
0.0848687,0.708904,0.430607,0.278298,1,0.0816
1.28884,0.356257,0.213667,0.14259,3,0.0611134
0.693598,0.356257,0.278237,0.07802,3,0.170679
0.573374,0.708904,0.682189,0.0267154,1,0.120107
1.6138,0.356257,0.152682,0.203575,3,0.172023
0.124806,0.708904,0.677416,0.0314883,1,0.0736412
0.792837,0.252552,0.137547,0.115005,4,0.126925
0.873226,0.356257,0.160347,0.195909,3,0.117611
0.131603,0.708904,0.633512,0.0753928,1,0.159737
0.516889,0.708904,0.437863,0.271042,1,0.0907079
0.0332744,0.708904,0.620932,0.0879726,1,0.159942
1.22954,0.708904,0.443478,0.265427,1,0.0574248
1.02323,0.252552,0.12904,0.123513,4,0.0901429
0.73601,0.356257,0.111494,0.244762,3,0.156317
0.446488,0.252552,0.107786,0.144766,4,0.135705
0.10301,0.708904,0.584454,0.124451,1,0.154215
1.18787,0.502546,0.104451,0.398095,2,0.0131374
0.352464,0.502546,0.343342,0.159203,2,0.0602992
1.04128,0.502546,0.0392321,0.463314,2,0.0707316
0.817887,0.502546,0.282373,0.220172,2,0.0857422
0.830997,0.708904,0.695298,0.0136068,1,0.101062
0.473088,0.708904,0.690347,0.0185576,1,0.101324
0.0744058,0.708904,0.624623,0.084282,1,0.159883
0.967221,0.708904,0.668281,0.0406231,1,0.142688
0.952473,0.708904,0.398093,0.310812,1,0.082773
0.106191,0.708904,0.470572,0.238332,1,0.106847
0.623788,0.502546,0.281563,0.220982,2,0.0417099
1.10121,0.708904,0.447156,0.261748,1,0.0909696
1.18098,0.502546,0.26582,0.236726,2,0.122546
0.776779,0.502546,0.273641,0.228905,2,0.113487
0.555674,0.502546,0.14415,0.358396,2,0.114646
0.0877214,0.708904,0.600873,0.108032,1,0.104041
0.704184,0.502546,0.270763,0.231783,2,0.108971
2.91753,0.126919,0.0634392,0.0634797,6,0.164103
0.240044,0.708904,0.35989,0.349015,1,0.0516742
1.46976,0.708904,0.566813,0.142091,1,0.0621745
0.535105,0.502546,0.35919,0.143356,2,0.155062
0.438654,0.356257,0.178529,0.177728,3,0.168071
0.472215,0.708904,0.458607,0.250298,1,0.128144
0.230063,0.708904,0.401944,0.30696,1,0.0895657
1.60384,0.502546,0.255766,0.246779,2,0.0885287
0.00439247,0.708904,0.399335,0.30957,1,0.133893
1.20224,0.356257,0.220752,0.135504,3,0.0444274
2.17104,0.252552,0.183778,0.0687743,4,0.098649
0.145331,0.708904,0.381641,0.327264,1,0.129874
0.381399,0.708904,0.434526,0.274379,1,0.0906113
1.10802,0.708904,0.561232,0.147673,1,0.117306
2.32431,0.126919,0.0634205,0.0634984,6,0.0328211
0.761927,0.502546,0.221037,0.281509,2,0.0715856
0.91836,0.252552,0.127582,0.12497,4,0.0907778
