LidarMCplusplus.cpp output file:
Radius(m),0.15
FOV(rad),0.174533
a(m^-1),0.0425791
b(m^-1),0.104066
c(m^-1),0.146645
Dmin,0.1
Dmax,100
k,1e+21
Junge,4
bulk ref index,(1.05,0.005)
#photons,1000000
distance,signal,co,cross,nScat,angleDet
0.219578,0.709645,0.681825,0.0278201,1,0.07997
2.50061,0.709645,0.366282,0.343364,1,0.0844521
2.48065,0.709645,0.680465,0.0291804,1,0.0695326
0.745708,0.709645,0.550839,0.158806,1,0.0767429
2.00952,0.709645,0.673791,0.0358545,1,0.0696489
1.77151,0.357375,0.114611,0.242764,3,0.120371
6.78655,0.503596,0.225632,0.277965,2,0.0401881
0.88801,0.709645,0.6594,0.0502451,1,0.0978441
1.69127,0.503596,0.0469625,0.456634,2,0.128171
3.72906,0.503596,0.226982,0.276614,2,0.166406
0.262217,0.709645,0.351303,0.358342,1,0.160555
0.457705,0.709645,0.357827,0.351818,1,0.140075
0.182333,0.709645,0.478589,0.231056,1,0.0599476
4.98419,0.709645,0.541133,0.168513,1,0.0524181
1.00403,0.709645,0.398275,0.31137,1,0.16486
1.65544,0.709645,0.582972,0.126674,1,0.106121
1.1376,0.709645,0.694408,0.0152368,1,0.124638
1.68412,0.709645,0.61664,0.0930049,1,0.163864
0.147059,0.709645,0.556685,0.15296,1,0.166725
3.83521,0.709645,0.353866,0.355779,1,0.0738786
3.28288,0.503596,0.265448,0.238148,2,0.0691048
0.932424,0.709645,0.365457,0.344188,1,0.144945
1.73504,0.709645,0.65628,0.0533648,1,0.119458
2.14036,0.709645,0.542166,0.167479,1,0.0948943
0.217844,0.709645,0.552369,0.157276,1,0.141327
1.32923,0.709645,0.360348,0.349297,1,0.100458
1.43613,0.709645,0.664901,0.0447438,1,0.130476
1.87236,0.709645,0.443333,0.266313,1,0.0995079
2.37603,0.709645,0.426872,0.282774,1,0.0824747
0.213119,0.709645,0.63823,0.0714157,1,0.0956561
1.07606,0.709645,0.52305,0.186595,1,0.15186
1.76293,0.503596,0.289832,0.213764,2,0.0346191
3.44836,0.709645,0.370814,0.338831,1,0.0472915
0.315746,0.709645,0.415652,0.293993,1,0.166097
1.02872,0.709645,0.35139,0.358255,1,0.165545
1.0566,0.709645,0.705618,0.00402709,1,0.055436
0.202686,0.709645,0.413486,0.296159,1,0.122749
2.6042,0.709645,0.652251,0.0573938,1,0.112761
1.04028,0.709645,0.407102,0.302543,1,0.133346
5.487,0.503596,0.414884,0.0887127,2,0.107129
63.0911,0.179973,0.0710235,0.108949,5,0.0836667
0.842929,0.709645,0.692206,0.0174391,1,0.172698
0.94335,0.709645,0.498909,0.210736,1,0.13858
0.876526,0.503596,0.127223,0.376374,2,0.148451
0.479723,0.503596,0.273293,0.230303,2,0.129177
0.585413,0.709645,0.446084,0.263561,1,0.129194
3.91874,0.709645,0.428525,0.28112,1,0.0507919
0.634898,0.709645,0.403871,0.305774,1,0.0503383
0.626483,0.709645,0.708623,0.0010222,1,0.055674
1.19717,0.709645,0.365533,0.344112,1,0.100349
3.09488,0.503596,0.252664,0.250932,2,0.0950972
0.995848,0.709645,0.707932,0.00171294,1,0.125188
0.53047,0.709645,0.515997,0.193649,1,0.0860574
1.01879,0.709645,0.504103,0.205542,1,0.151774
2.17932,0.503596,0.229488,0.274108,2,0.0509027
0.838904,0.709645,0.707164,0.00248146,1,0.104423
0.192531,0.709645,0.352961,0.356685,1,0.100757
3.30962,0.709645,0.35385,0.355795,1,0.0740571
4.45503,0.503596,0.229753,0.273843,2,0.0500393
5.94474,0.709645,0.708964,0.000681396,1,0.00526505
12.7837,0.253609,0.136298,0.117312,4,0.0861275
1.15645,0.709645,0.425095,0.28455,1,0.0852548
0.201766,0.709645,0.426872,0.282774,1,0.169403
3.35572,0.503596,0.159464,0.344133,2,0.116942
6.11228,0.503596,0.218009,0.285588,2,0.0158187
7.51862,0.503596,0.255405,0.248192,2,0.0566123
11.6779,0.357375,0.140379,0.216996,3,0.106227
0.617816,0.709645,0.485024,0.224621,1,0.0449393
1.44843,0.503596,0.278024,0.225572,2,0.139171
