LidarMCplusplus.cpp output file:
Radius(m),0.15
FOV(rad),0.523599
a(m^-1),0.0586001
b(m^-1),1.21507
c(m^-1),1.27367
Junge,4
bulk ref index,(1.1,0.001)
#photons,1000000
distance,signal,co,cross
0.25,489.556,321.242,168.314
0.5,301.739,185.197,116.542
0.75,115.486,65.6425,49.8433
1,65.9179,34.8891,31.0289
1.25,34.7061,16.1052,18.6009
1.5,19.0158,9.62549,9.39029
1.75,13.5892,6.82791,6.76132
2,10.441,4.83294,5.60802
2.25,4.71554,2.02734,2.6882
2.5,6.71406,3.69504,3.01902
2.75,1.47295,0.732029,0.740924
3,3.83019,1.87764,1.95255
3.25,2.78816,1.41818,1.36998
3.5,1.6584,0.857522,0.800876
3.75,1.19129,0.582918,0.608373
4,1.71338,0.873926,0.839452
4.25,1.16246,0.551668,0.610791
4.5,1.79084,0.892088,0.898752
4.75,2.30163,1.14921,1.15242
5,0.408641,0.204093,0.204548
5.25,0,0,0
5.5,0.493361,0.246333,0.247028
5.75,0,0,0
6,0.408641,0.207824,0.200818
6.25,0,0,0
6.5,0.493361,0.247908,0.245453
6.75,0.56824,0.284286,0.283954
7,0.931937,0.47025,0.461686
7.25,0.493361,0.247644,0.245717
7.5,0,0,0
7.75,0.493361,0.235061,0.2583
8,0,0,0
8.25,0,0,0
8.5,0,0,0
8.75,0,0,0
9,0,0,0
9.25,0,0,0
9.5,0,0,0
9.75,0,0,0
10,0,0,0
10.25,0,0,0
10.5,0,0,0
10.75,0.38984,0.197672,0.192169
11,0,0,0
11.25,0,0,0
11.5,0.183483,0.0906658,0.0928174
11.75,0,0,0
12,0,0,0
12.25,0,0,0
12.5,0,0,0
12.75,0,0,0
13,0,0,0
13.25,0,0,0
13.5,0,0,0
13.75,0,0,0
14,0,0,0
14.25,0,0,0
14.5,0,0,0
14.75,0,0,0
15,0,0,0
15.25,0,0,0
15.5,0,0,0
15.75,0,0,0
16,0,0,0
16.25,0,0,0
16.5,0,0,0
16.75,0,0,0
17,0,0,0
17.25,0,0,0
17.5,0,0,0
17.75,0,0,0
18,0,0,0
18.25,0,0,0
18.5,0,0,0
18.75,0,0,0
19,0,0,0
19.25,0,0,0
19.5,0,0,0
19.75,0,0,0
20,0,0,0
20.25,0,0,0
20.5,0,0,0
20.75,0,0,0
21,0,0,0
21.25,0,0,0
21.5,0,0,0
21.75,0,0,0
22,0,0,0
22.25,0,0,0
22.5,0,0,0
22.75,0,0,0
23,0,0,0
23.25,0,0,0
23.5,0,0,0
23.75,0,0,0
24,0,0,0
24.25,0,0,0
24.5,0,0,0
24.75,0,0,0
25,0,0,0
25.25,0,0,0
25.5,0,0,0
25.75,0,0,0
26,0,0,0
26.25,0,0,0
26.5,0,0,0
26.75,0,0,0
27,0,0,0
27.25,0,0,0
27.5,0,0,0
27.75,0,0,0
28,0,0,0
28.25,0,0,0
28.5,0.0336661,0.0168252,0.0168408
