LidarMCplusplus.cpp output file:
Radius(m),0.15
FOV(rad),0.174533
a(m^-1),0.0425791
b(m^-1),0.104066
c(m^-1),0.146645
Dmin,0.1
Dmax,100
k,1e+21
Junge,4
bulk ref index,(1.05,0.005)
#photons,1000000
distance,signal,co,cross
0.25,5.67716,4.10102,1.57615
0.5,2.63253,1.39808,1.23446
0.75,4.25787,3.11044,1.14743
1,4.76147,3.75829,1.00318
1.25,6.38681,4.37458,2.01223
1.5,1.92289,1.30327,0.619613
1.75,2.63253,1.90285,0.729677
2,1.57062,0.847776,0.72284
2.25,1.92289,1.44545,0.477442
2.5,1.41929,1.10734,0.311954
2.75,1.41929,1.01853,0.400757
3,0,0,0
3.25,0.503596,0.252664,0.250932
3.5,2.42648,1.14958,1.27691
3.75,0.503596,0.226982,0.276614
4,1.41929,0.782392,0.636899
4.25,0,0,0
4.5,0.503596,0.229753,0.273843
4.75,0,0,0
5,0.709645,0.541133,0.168513
5.25,0,0,0
5.5,0.503596,0.414884,0.0887127
5.75,0,0,0
6,0.709645,0.708964,0.000681396
6.25,0.503596,0.218009,0.285588
6.5,0,0,0
6.75,0,0,0
7,0.503596,0.225632,0.277965
7.25,0,0,0
7.5,0,0,0
7.75,0.503596,0.255405,0.248192
8,0,0,0
8.25,0,0,0
8.5,0,0,0
8.75,0,0,0
9,0,0,0
9.25,0,0,0
9.5,0,0,0
9.75,0,0,0
10,0,0,0
10.25,0,0,0
10.5,0,0,0
10.75,0,0,0
11,0,0,0
11.25,0,0,0
11.5,0,0,0
11.75,0.357375,0.140379,0.216996
12,0,0,0
12.25,0,0,0
12.5,0,0,0
12.75,0,0,0
13,0.253609,0.136298,0.117312
13.25,0,0,0
13.5,0,0,0
13.75,0,0,0
14,0,0,0
14.25,0,0,0
14.5,0,0,0
14.75,0,0,0
15,0,0,0
15.25,0,0,0
15.5,0,0,0
15.75,0,0,0
16,0,0,0
16.25,0,0,0
16.5,0,0,0
16.75,0,0,0
17,0,0,0
17.25,0,0,0
17.5,0,0,0
17.75,0,0,0
18,0,0,0
18.25,0,0,0
18.5,0,0,0
18.75,0,0,0
19,0,0,0
19.25,0,0,0
19.5,0,0,0
19.75,0,0,0
20,0,0,0
20.25,0,0,0
20.5,0,0,0
20.75,0,0,0
21,0,0,0
21.25,0,0,0
21.5,0,0,0
21.75,0,0,0
22,0,0,0
22.25,0,0,0
22.5,0,0,0
22.75,0,0,0
23,0,0,0
23.25,0,0,0
23.5,0,0,0
23.75,0,0,0
24,0,0,0
24.25,0,0,0
24.5,0,0,0
24.75,0,0,0
25,0,0,0
25.25,0,0,0
25.5,0,0,0
25.75,0,0,0
26,0,0,0
26.25,0,0,0
26.5,0,0,0
26.75,0,0,0
27,0,0,0
27.25,0,0,0
27.5,0,0,0
27.75,0,0,0
28,0,0,0
28.25,0,0,0
28.5,0,0,0
28.75,0,0,0
29,0,0,0
29.25,0,0,0
29.5,0,0,0
29.75,0,0,0
30,0,0,0
30.25,0,0,0
30.5,0,0,0
30.75,0,0,0
31,0,0,0
31.25,0,0,0
31.5,0,0,0
31.75,0,0,0
32,0,0,0
32.25,0,0,0
32.5,0,0,0
32.75,0,0,0
33,0,0,0
33.25,0,0,0
33.5,0,0,0
33.75,0,0,0
34,0,0,0
34.25,0,0,0
34.5,0,0,0
34.75,0,0,0
35,0,0,0
35.25,0,0,0
35.5,0,0,0
35.75,0,0,0
36,0,0,0
36.25,0,0,0
36.5,0,0,0
36.75,0,0,0
37,0,0,0
37.25,0,0,0
37.5,0,0,0
37.75,0,0,0
38,0,0,0
38.25,0,0,0
38.5,0,0,0
38.75,0,0,0
39,0,0,0
39.25,0,0,0
39.5,0,0,0
39.75,0,0,0
40,0,0,0
40.25,0,0,0
40.5,0,0,0
40.75,0,0,0
41,0,0,0
41.25,0,0,0
41.5,0,0,0
41.75,0,0,0
42,0,0,0
42.25,0,0,0
42.5,0,0,0
42.75,0,0,0
43,0,0,0
43.25,0,0,0
43.5,0,0,0
43.75,0,0,0
44,0,0,0
44.25,0,0,0
44.5,0,0,0
44.75,0,0,0
45,0,0,0
45.25,0,0,0
45.5,0,0,0
45.75,0,0,0
46,0,0,0
46.25,0,0,0
46.5,0,0,0
46.75,0,0,0
47,0,0,0
47.25,0,0,0
47.5,0,0,0
47.75,0,0,0
48,0,0,0
48.25,0,0,0
48.5,0,0,0
48.75,0,0,0
49,0,0,0
49.25,0,0,0
49.5,0,0,0
49.75,0,0,0
50,0,0,0
50.25,0,0,0
50.5,0,0,0
50.75,0,0,0
51,0,0,0
51.25,0,0,0
51.5,0,0,0
51.75,0,0,0
52,0,0,0
52.25,0,0,0
52.5,0,0,0
52.75,0,0,0
53,0,0,0
53.25,0,0,0
53.5,0,0,0
53.75,0,0,0
54,0,0,0
54.25,0,0,0
54.5,0,0,0
54.75,0,0,0
55,0,0,0
55.25,0,0,0
55.5,0,0,0
55.75,0,0,0
56,0,0,0
56.25,0,0,0
56.5,0,0,0
56.75,0,0,0
57,0,0,0
57.25,0,0,0
57.5,0,0,0
57.75,0,0,0
58,0,0,0
58.25,0,0,0
58.5,0,0,0
58.75,0,0,0
59,0,0,0
59.25,0,0,0
59.5,0,0,0
59.75,0,0,0
60,0,0,0
60.25,0,0,0
60.5,0,0,0
60.75,0,0,0
61,0,0,0
61.25,0,0,0
61.5,0,0,0
61.75,0,0,0
62,0,0,0
62.25,0,0,0
62.5,0,0,0
62.75,0,0,0
63,0,0,0
63.25,0.179973,0.0710235,0.108949
