LidarMCplusplus.cpp output file:
Radius(m),0.15
FOV(rad),0.174533
a(m^-1),0.00425791
b(m^-1),0.0104066
c(m^-1),0.0146645
Dmin,0.1
Dmax,100
k,1e+20
Junge,4
bulk ref index,(1.05,0.005)
#photons,100000
distance,signal,co,cross
0.25,0.709645,0.652727,0.0569178
0.5,0,0,0
0.75,0,0,0
1,0,0,0
1.25,0.709645,0.59338,0.116265
1.5,0.709645,0.435767,0.273878
1.75,0,0,0
2,0,0,0
2.25,0.709645,0.670964,0.0386812
2.5,0,0,0
2.75,0,0,0
3,0,0,0
3.25,0,0,0
3.5,0,0,0
3.75,0,0,0
4,0,0,0
4.25,0,0,0
4.5,0,0,0
4.75,0,0,0
5,0,0,0
5.25,0,0,0
5.5,0,0,0
5.75,0,0,0
6,0,0,0
6.25,0,0,0
6.5,0,0,0
6.75,0,0,0
7,0,0,0
7.25,0,0,0
7.5,0,0,0
7.75,0,0,0
8,0,0,0
8.25,0,0,0
8.5,0,0,0
8.75,0.709645,0.680199,0.029446
